name,appearances,year,media,description
Anoat,Star Wars Legends:Star Wars: Dark Forces,1995,Video game,Polluted; A nearly inhospitable planet used by the Empire.
Anoat,Star Wars: Uprising,2015,Video game,Polluted; A nearly inhospitable planet used by the Empire.
Arvala-7,The Mandalorian,2019,TV series,"An ""out-of-the-way"" desert planet where the Mandalorian was sent by the Client to look for the Child and where Kuiil worked as a vapor farmer."
Atollon,Star Wars Rebels,2016,TV series,"Desert planet, site of Phoenix Squadron Rebel base. Home of the spider-like hexapods known as the Krykna, and the powerful force-wielder Bendu."
Batuu,Thrawn: Alliances,2018,Book,A remote frontier outpost and old trading port
Balnab,Star Wars: The Clone Wars,2008,TV series,A Barbaric world once visited by R2-D2 and C-3PO.
Bespin,The Empire Strikes Back,1980,Film,A gas planet with a thin layer of habitable atmosphere where Cloud City was located. The planet's gas layers were a source of rare tibanna gas which was harvested and refined at mining complexes like Cloud City.
Bespin,Return of the Jedi (Special Edition),1997,Film,A gas planet with a thin layer of habitable atmosphere where Cloud City was located. The planet's gas layers were a source of rare tibanna gas which was harvested and refined at mining complexes like Cloud City.
Bespin,The Rise of Skywalker,2019,Film,A gas planet with a thin layer of habitable atmosphere where Cloud City was located. The planet's gas layers were a source of rare tibanna gas which was harvested and refined at mining complexes like Cloud City.
Bogano,Star Wars Jedi: Fallen Order,2019,Video game,"A hospitable planet where Eno Cordova hid from the Empire. There was a structure known as ""The Vault"", within which hid a Jedi holocron."
Bothweli,Star Wars: The Clone Wars,2008,TV Series,Site of a space battle between Anakin Skywalker and General Grievous.
Bracca,Star Wars Jedi: Fallen Order,2019,Video game,An inhospitable junkyard planet in the Mid Rim considered strategically important in the Clone Wars. Becomes useful to the Scrapper Guild whose members salvage decommissioned ships for the Empire.
Cantonica,The Last Jedi,2017,Film,"An arid planet where the resort city of Canto Bight, home of the Canto Casino and Racetrack, is located."
Castilon,Star Wars Resistance,2018,TV series,"An ocean planet located in the Outer Rim near Wild Space. Home to the aircraft refueling station Colossus, as well as a destination for racers."
Cato Neimoidia,Star Wars Legends:Darth Maul: Saboteur,2001,Short story,"The site of battles throughout the Clone Wars, notable for its ""Bridge Cities"". Also the site of Plo Koon's death during the Great Jedi Purge."
Cato Neimoidia,Revenge of the Sith,2005,Film,"The site of battles throughout the Clone Wars, notable for its ""Bridge Cities"". Also the site of Plo Koon's death during the Great Jedi Purge."
Cato Neimoidia,Star Wars: The Clone Wars,2013,TV Series,"The site of battles throughout the Clone Wars, notable for its ""Bridge Cities"". Also the site of Plo Koon's death during the Great Jedi Purge."
Celsor 3,Star Wars Resistance,2019,TV series,An uninhabited ice moon and home to the Jakoosk.
Chandrila,Star Wars Legends:The Truce at Bakura,1994,Book,"Homeworld of Mon Mothma, it serves as the first capital of the New Republic. Serene planet known for calm seas and rolling hills."
Chandrila,Star Wars: Aftermath,2015,Book,"Homeworld of Mon Mothma, it serves as the first capital of the New Republic. Serene planet known for calm seas and rolling hills."
Christophsis,The Clone Wars,2008,Film,"During the Clone Wars, the Battle of Christophsis occurs here, serving as an introduction to Ahsoka Tano."
Christophsis,Star Wars: The Clone Wars,2009,TV Series,"During the Clone Wars, the Battle of Christophsis occurs here, serving as an introduction to Ahsoka Tano."
Concord Dawn,Star Wars Legends:The Last One Standing: The Tale of Boba Fett,1996,Short story,Home planet of Jango Fett. Habitable planet that is surrounded by a large amount of debris from many vicious wars. Formerly controlled by the Mandalorians.
Concord Dawn,Star Wars: The Clone Wars,2012,TV series (mentioned),Home planet of Jango Fett. Habitable planet that is surrounded by a large amount of debris from many vicious wars. Formerly controlled by the Mandalorians.
Concord Dawn,Star Wars Rebels,2016,TV series,Home planet of Jango Fett. Habitable planet that is surrounded by a large amount of debris from many vicious wars. Formerly controlled by the Mandalorians.
Corellia,A New Hope,1977,Film (mentioned),"Industrial planet located in the Core of the galaxy, with a strong culture of training pilots. Homeworld of Han Solo."
Corellia,Star Wars Legends:The Corellian Trilogy,1995,Book,"Industrial planet located in the Core of the galaxy, with a strong culture of training pilots. Homeworld of Han Solo."
Corellia,Solo: A Star Wars Story,2018,Film,"Industrial planet located in the Core of the galaxy, with a strong culture of training pilots. Homeworld of Han Solo."
Coruscant,Star Wars Legends:Heir to the Empire,1991,Book,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Coruscant,Return of the Jedi (Special Edition),1997,Film,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Coruscant,The Phantom Menace,1999,Film,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Coruscant,Attack of the Clones,2002,Film,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Coruscant,Revenge of the Sith,2005,Film,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Coruscant,Rogue One,2016,Film,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Coruscant,The Clone Wars,2008,Film,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Coruscant,The Clone Wars,2008,TV series,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Coruscant,Catalyst: A Rogue One Novel,2016,Book,Cosmopolitan urban world consisting of one planet-wide city. Governmental center of the Galactic Republic and later the Galactic Empire.
Crait,"Leia, Princess of Alderaan",2017,Book,"Small mineral planet located in a remote section of the galaxy, its surface is covered with a layer of white salt over its red-colored soil. In Leia, Princess of Alderaan it is the location of an early Rebel Alliance outpost. Leia and her remaining Resistance forces flee there in The Last Jedi, where they face off with the First Order."
Crait,Star Wars Battlefront II,2017,Video game,"Small mineral planet located in a remote section of the galaxy, its surface is covered with a layer of white salt over its red-colored soil. In Leia, Princess of Alderaan it is the location of an early Rebel Alliance outpost. Leia and her remaining Resistance forces flee there in The Last Jedi, where they face off with the First Order."
Crait,The Last Jedi,2017,Film,"Small mineral planet located in a remote section of the galaxy, its surface is covered with a layer of white salt over its red-colored soil. In Leia, Princess of Alderaan it is the location of an early Rebel Alliance outpost. Leia and her remaining Resistance forces flee there in The Last Jedi, where they face off with the First Order."
D'Qar,The Force Awakens,2015,Film,Site of a Resistance operations base led by General Leia Organa.
D'Qar,The Last Jedi,2017,Film,Site of a Resistance operations base led by General Leia Organa.
D'Qar,Star Wars Battlefront II,2017,Video game,Site of a Resistance operations base led by General Leia Organa.
Dagobah,The Empire Strikes Back,1980,Film,Swamp planet and Yoda's residence after the fall of the Jedi.
Dagobah,Return of the Jedi,1983,Film,Swamp planet and Yoda's residence after the fall of the Jedi.
Dagobah,The Clone Wars,2014,TV series,Swamp planet and Yoda's residence after the fall of the Jedi.
Dantooine,A New Hope,1977,Film (mentioned),"Rural planet and the former site of a Rebel base. The writers of Rogue One considered depicting the Rebels evacuating the base for Yavin 4, but ""it didn't move the story forward and it would have cost a ton of money."""
Dantooine,Star Wars Legends:Jedi Search,1994,Book,"Rural planet and the former site of a Rebel base. The writers of Rogue One considered depicting the Rebels evacuating the base for Yavin 4, but ""it didn't move the story forward and it would have cost a ton of money."""
Dantooine,Star Wars Legends:Star Wars: Knights of the Old Republic,2003,Video game,"Rural planet and the former site of a Rebel base. The writers of Rogue One considered depicting the Rebels evacuating the base for Yavin 4, but ""it didn't move the story forward and it would have cost a ton of money."""
Dantooine,Star Wars Rebels,2017,TV series,"Rural planet and the former site of a Rebel base. The writers of Rogue One considered depicting the Rebels evacuating the base for Yavin 4, but ""it didn't move the story forward and it would have cost a ton of money."""
Dantooine,Star Wars Resistance,2020,TV series,"Rural planet and the former site of a Rebel base. The writers of Rogue One considered depicting the Rebels evacuating the base for Yavin 4, but ""it didn't move the story forward and it would have cost a ton of money."""
Dandoran,Star Wars Commander,2014,Video game,Lush and watery planet in Hutt space. Home to many smuggling cartels
Dathomir,Star Wars Legends:The Courtship of Princess Leia,1994,Book,"Homeworld of the Force-sensitive Nightsisters, including Asajj Ventress. Also the homeworld of the Zabrak warriors, including Darth Maul."
Dathomir,Star Wars: The Clone Wars,2011,TV series,"Homeworld of the Force-sensitive Nightsisters, including Asajj Ventress. Also the homeworld of the Zabrak warriors, including Darth Maul."
Dathomir,Star Wars Rebels,2016,TV Series,"Homeworld of the Force-sensitive Nightsisters, including Asajj Ventress. Also the homeworld of the Zabrak warriors, including Darth Maul."
Dathomir,Solo: A Star Wars Story,2018,Film (mentioned),"Homeworld of the Force-sensitive Nightsisters, including Asajj Ventress. Also the homeworld of the Zabrak warriors, including Darth Maul."
Dathomir,Star Wars Jedi: Fallen Order,2019,Video game,"Homeworld of the Force-sensitive Nightsisters, including Asajj Ventress. Also the homeworld of the Zabrak warriors, including Darth Maul."
Devaron,Star Wars Legends:Tales from the Mos Eisley Cantina,1995,Book,Forest planet with an ancient Jedi Temple.
Devaron,Star Wars: The Clone Wars,2009,TV series,Forest planet with an ancient Jedi Temple.
Eadu,Rogue One,2016,Film,"Rocky, mountainous planet beset by constant severe storms. Home to an Imperial weapons research facility. Its appearance was partly inspired by the fictitious planet LV-426 from the Alien franchise."
Endor,Return of the Jedi,1983,Film,"Forest moon that the second Death Star orbits, and house to an Imperial outpost. Inhabited by Ewoks. The location of the battle between the Rebel Alliance and the Empire leading to the destruction of the second Death Star."
Endor,Star Wars: Battlefront,2015,Video game,"Forest moon that the second Death Star orbits, and house to an Imperial outpost. Inhabited by Ewoks. The location of the battle between the Rebel Alliance and the Empire leading to the destruction of the second Death Star."
Endor,Star Wars Battlefront II,2017,Video game,"Forest moon that the second Death Star orbits, and house to an Imperial outpost. Inhabited by Ewoks. The location of the battle between the Rebel Alliance and the Empire leading to the destruction of the second Death Star."
Endor,The Rise of Skywalker,2019,Film,"Forest moon that the second Death Star orbits, and house to an Imperial outpost. Inhabited by Ewoks. The location of the battle between the Rebel Alliance and the Empire leading to the destruction of the second Death Star."
Er´kit,Star Wars Commander,2014,Video game,Desert planet located in the galaxy's Outer Rim Territories. Homeworld of the Er'Kit species.
Eriadu,Star Wars Legends:Darth Maul: Saboteur,2001,Book,Planet located in the galaxy's Outer Rim. Homeworld of Grand Moff Tarkin and his family.
Eriadu,Tarkin,2014,Book,Planet located in the galaxy's Outer Rim. Homeworld of Grand Moff Tarkin and his family.
Exegol,The Rise of Skywalker,2019,Film,"A stormy planet in the galaxy's ""Unknown Regions"". An ancient bastion of the Sith, it serves as the lair of Darth Sidious during the construction of his armada known as the Final Order."
Felucia,Revenge of the Sith,2005,Film,Jungle planet teeming with plants but little animal life. Aayla Secura is assassinated here during the Jedi Purge.
Felucia,Star Wars Battlefront II,2017,Video game,Jungle planet teeming with plants but little animal life. Aayla Secura is assassinated here during the Jedi Purge.
Felucia,Star Wars: The Clone Wars,2009,TV series,Jungle planet teeming with plants but little animal life. Aayla Secura is assassinated here during the Jedi Purge.
Florrum,Star Wars: The Clone Wars,2009,TV series,Sulfurous desert planet. Hondo Ohnaka is the leader of a pirate gang based on the planet.
Fondor,Star Wars Battlefront II,2017,Video game,Imperial manufacturing center with large shipyards.
Geonosis,Attack of the Clones,2002,Film,"Rocky desert planet where battle droids are manufactured, and the site of the opening battle of the Clone Wars. All life on the planet is presumed destroyed by the Empire in Star Wars Rebels, with two exceptions: Klik-Klak and his offspring. Primary construction site of the first Death Star. Homeworld of the Geonosians."
Geonosis,The Clone Wars,2009,TV series,"Rocky desert planet where battle droids are manufactured, and the site of the opening battle of the Clone Wars. All life on the planet is presumed destroyed by the Empire in Star Wars Rebels, with two exceptions: Klik-Klak and his offspring. Primary construction site of the first Death Star. Homeworld of the Geonosians."
Geonosis,Star Wars Rebels,2016,TV series,"Rocky desert planet where battle droids are manufactured, and the site of the opening battle of the Clone Wars. All life on the planet is presumed destroyed by the Empire in Star Wars Rebels, with two exceptions: Klik-Klak and his offspring. Primary construction site of the first Death Star. Homeworld of the Geonosians."
Geonosis,Star Wars Battlefront II,2017,Video game,"Rocky desert planet where battle droids are manufactured, and the site of the opening battle of the Clone Wars. All life on the planet is presumed destroyed by the Empire in Star Wars Rebels, with two exceptions: Klik-Klak and his offspring. Primary construction site of the first Death Star. Homeworld of the Geonosians."
Hosnian Prime,The Force Awakens,2015,Film,Urban planet and capital of the New Republic. Destroyed by the First Order's Starkiller Base.
Hosnian Prime,Star Wars Resistance,2018,TV series,Urban planet and capital of the New Republic. Destroyed by the First Order's Starkiller Base.
Hoth,The Empire Strikes Back,1980,Film,Desolate ice planet and base for the Rebel Alliance.
Hoth,Star Wars Battlefront,2015,Video game,Desolate ice planet and base for the Rebel Alliance.
Hoth,Star Wars Battlefront II,2017,Video game,Desolate ice planet and base for the Rebel Alliance.
Iego,The Phantom Menace,1999,Film (mentioned),"An Outer Rim planet which harbors flying creatures called xandu and medicinally important plants called reeska. Iego is surrounded by a 1000 moons and at least one of these, named Millius Prime, is home to a race called the Angels."
Iego,Star Wars: The Clone Wars,2009,TV series,"An Outer Rim planet which harbors flying creatures called xandu and medicinally important plants called reeska. Iego is surrounded by a 1000 moons and at least one of these, named Millius Prime, is home to a race called the Angels."
Ilum,Star Wars Legends:Jedi Quest: Path to Truth,2001,Book,Remote ice planet where kyber crystals are mined. It became Starkiller Base.
Ilum,Star Wars: Clone Wars,2004,TV micro-series,Remote ice planet where kyber crystals are mined. It became Starkiller Base.
Ilum,Star Wars: The Clone Wars,2012,TV series,Remote ice planet where kyber crystals are mined. It became Starkiller Base.
Ilum,Star Wars Jedi: Fallen Order,2019,Video game,Remote ice planet where kyber crystals are mined. It became Starkiller Base.
Iridonia,Star Wars Legends: Star Wars Episode I Journal: Darth Maul,2000,Book,Home of the Iridonian people and rumored birthplace of Darth Maul.
Iridonia,Star Wars: The Clone Wars,2011,TV series (mentioned),Home of the Iridonian people and rumored birthplace of Darth Maul.
Jakku,The Force Awakens,2015,Film,"Desert planet. Site of a ""graveyard"" of ships damaged during the Battle of Jakku, the final battle between the New Republic and the Galactic Empire. Also the homeworld of Rey."
Jakku,Star Wars Battlefront II,2017,Video game,"Desert planet. Site of a ""graveyard"" of ships damaged during the Battle of Jakku, the final battle between the New Republic and the Galactic Empire. Also the homeworld of Rey."
Jakku,The Rise of Skywalker,2019,Film,"Desert planet. Site of a ""graveyard"" of ships damaged during the Battle of Jakku, the final battle between the New Republic and the Galactic Empire. Also the homeworld of Rey."
Jedha,Rogue One,2016,Film,"Cold desert moon, and a sacred place for believers in the Force. A source of kyber crystals used for lightsabers and the Death Star's primary weapon. It is also the first location on which the Death Star's destructive capability is tested. Rogue One's director, Gareth Edwards, has described the location as ""a Mecca or Jerusalem within the Star Wars world"". It is also a homonym for Jeddah, the principal gateway to Mecca."
Kamino,Attack of the Clones,2002,Film,Ocean planet where cloning technology is developed and the Clone Army is created and trained. Obi-Wan Kenobi discovers that the planet is missing from the Jedi archives; it is later revealed to have been deleted as a part of Darth Sidious' plot to start the Clone Wars.
Kamino,The Clone Wars,2010,TV series,Ocean planet where cloning technology is developed and the Clone Army is created and trained. Obi-Wan Kenobi discovers that the planet is missing from the Jedi archives; it is later revealed to have been deleted as a part of Darth Sidious' plot to start the Clone Wars.
Kamino,Star Wars Battlefront II,2017,Video game,Ocean planet where cloning technology is developed and the Clone Army is created and trained. Obi-Wan Kenobi discovers that the planet is missing from the Jedi archives; it is later revealed to have been deleted as a part of Darth Sidious' plot to start the Clone Wars.
Kashyyyk,Star Wars Holiday Special,1978,TV film,Forest planet and home of the Wookiees. Also the site of one of the final battles of the Clone Wars.
Kashyyyk,Revenge of the Sith,2005,Film,Forest planet and home of the Wookiees. Also the site of one of the final battles of the Clone Wars.
Kashyyyk,Star Wars Battlefront II,2017,Video game,Forest planet and home of the Wookiees. Also the site of one of the final battles of the Clone Wars.
Kashyyyk,Star Wars Jedi: Fallen Order,2019,Video game,Forest planet and home of the Wookiees. Also the site of one of the final battles of the Clone Wars.
Kef Bir,The Rise of Skywalker,2019,Film,A moon of Endor and the location of some of the wreckage of the second Death Star after it was destroyed in Return of the Jedi.
Kessel,Star Wars,1977,Film (mentioned),"A mining planet that has been fought over by crime lords for its valuable Spice. A fissure vent beneath the spice mines served as a source of astatic coaxium, an element that could be refined into hyperfuel for starships."
Kessel,Star Wars Legends: Jedi Search,1994,Book,"A mining planet that has been fought over by crime lords for its valuable Spice. A fissure vent beneath the spice mines served as a source of astatic coaxium, an element that could be refined into hyperfuel for starships."
Kessel,Star Wars Rebels,2014,TV series,"A mining planet that has been fought over by crime lords for its valuable Spice. A fissure vent beneath the spice mines served as a source of astatic coaxium, an element that could be refined into hyperfuel for starships."
Kessel,Solo: A Star Wars Story,2018,Film,"A mining planet that has been fought over by crime lords for its valuable Spice. A fissure vent beneath the spice mines served as a source of astatic coaxium, an element that could be refined into hyperfuel for starships."
Kessel,Star Wars Battlefront II,2017,Video game,"A mining planet that has been fought over by crime lords for its valuable Spice. A fissure vent beneath the spice mines served as a source of astatic coaxium, an element that could be refined into hyperfuel for starships."
Kessel,The Clone Wars,2020,TV series,"A mining planet that has been fought over by crime lords for its valuable Spice. A fissure vent beneath the spice mines served as a source of astatic coaxium, an element that could be refined into hyperfuel for starships."
Kijimi,The Rise of Skywalker,2019,Film,"A frigid mountainous planet. It was the homeworld of Zorii Bliss, leader of the smuggling gang known as the Spice Runners of Kijimi. It is later destroyed by the Final Order as a show of force for the rest of the galaxy."
Kijimi,Star Wars: Force Collector,2019,Book,"A frigid mountainous planet. It was the homeworld of Zorii Bliss, leader of the smuggling gang known as the Spice Runners of Kijimi. It is later destroyed by the Final Order as a show of force for the rest of the galaxy."
Kuat,Star Wars Legends: Wedge's Gamble,1996,Book,"Industrial planet home to Kuat Drive Yards, the manufacturer of Star Destroyers."
Kuat,Star Wars: The Clone Wars,2009,TV series (mentioned),"Industrial planet home to Kuat Drive Yards, the manufacturer of Star Destroyers."
Lah'mu,Catalyst: A Rogue One Novel,2016,Book,"A remote planet with black sands, where Jyn Erso and her parents go into hiding."
Lah'mu,Rogue One,2016,Film,"A remote planet with black sands, where Jyn Erso and her parents go into hiding."
Lira San,Star Wars Rebels,2016,TV series,"The original homeworld of the Lasat, according to Zeb Orrelios, member of the Spectres."
Lothal,Star Wars Rebels,2014,TV series,Remote farm planet and birthplace of Ezra Bridger.
Lothal,Tarkin,2014,Book,Remote farm planet and birthplace of Ezra Bridger.
Lotho Minor,Star Wars: The Clone Wars,2011,TV series,A planetary junkyard and hiding place of Darth Maul after his presumed death.
Malachor,Star Wars Rebels,2016,TV series,"Desolate Sith temple world and site of two major battles thousands of year apart: one involving the Scourge of Malachor, the other between Darth Maul, several Rebels, Darth Vader, and several Inquisitors."
Malastare,The Phantom Menace,1999,Film (mentioned),Forested planet where podracing is popular. Birthplace of Sebulba and homeworld of the Dug.
Malastare,Star Wars: The Clone Wars,2010,TV series,Forested planet where podracing is popular. Birthplace of Sebulba and homeworld of the Dug.
Maldo Kreis,The Mandalorian,2019,TV series,Ice covered planet inhabitated mostly by ravinaks.
Mandalore,Star Wars Legends: Marvel Star Wars,1982,Comics,Formerly habitable planet and the subject of legends due to its history of Mandalorian warriors.
Mandalore,Star Wars: The Clone Wars,2010,TV series,Formerly habitable planet and the subject of legends due to its history of Mandalorian warriors.
Maridun,Star Wars Legends: Star Wars: Empire,2004,Comics,Grassy planet remaining undiscovered until the Clone Wars.
Maridun,Star Wars: The Clone Wars,2009,TV series,Grassy planet remaining undiscovered until the Clone Wars.
Mimban,Star Wars Legends: Splinter of the Mind's Eye,1978,Book,Swamp planet with perpetual fog and overcast sky.
Mimban,Star Wars: The Clone Wars,2008,TV series (mentioned),Swamp planet with perpetual fog and overcast sky.
Mimban,Solo: A Star Wars Story,2018,Film,Swamp planet with perpetual fog and overcast sky.
Mon Cala,Star Wars Legends: Dark Empire,1991,Comics,"Ocean planet, home to the Mon Calamari and Quarren species. Also known as Mon Calamari, or Dac."
Mon Cala,Star Wars: The Clone Wars,2011,TV series,"Ocean planet, home to the Mon Calamari and Quarren species. Also known as Mon Calamari, or Dac."
Moraband,Star Wars: The Clone Wars,2014,TV series,Home planet of ancient Sith lords. Known as Korriban in Legends.
Mortis,Star Wars: The Clone Wars,2011,TV series,"Planet with a wall surrounding it, home to the three omnipotent Force wielders known only in the Jedi Archives as the Mortis Gods."
Mustafar,Revenge of the Sith,2005,Film,"An originally lush and forested planet that becomes volcanic and almost lifeless during an ancient battle. The hiding place of the Separatists leaders during the final hours of the Clone Wars, until they are killed by Darth Vader, who is later permanently scarred in a battle with Obi-Wan Kenobi. During the Imperial era, Vader builds his personal fortress on the planet. Vader's grandson, Kylo Ren, retrieves a Sith wayfinder from the ruins of his grandfather's fortress decades later."
Mustafar,The Clone Wars,2009,TV series,"An originally lush and forested planet that becomes volcanic and almost lifeless during an ancient battle. The hiding place of the Separatists leaders during the final hours of the Clone Wars, until they are killed by Darth Vader, who is later permanently scarred in a battle with Obi-Wan Kenobi. During the Imperial era, Vader builds his personal fortress on the planet. Vader's grandson, Kylo Ren, retrieves a Sith wayfinder from the ruins of his grandfather's fortress decades later."
Mustafar,Rogue One,2016,Film,"An originally lush and forested planet that becomes volcanic and almost lifeless during an ancient battle. The hiding place of the Separatists leaders during the final hours of the Clone Wars, until they are killed by Darth Vader, who is later permanently scarred in a battle with Obi-Wan Kenobi. During the Imperial era, Vader builds his personal fortress on the planet. Vader's grandson, Kylo Ren, retrieves a Sith wayfinder from the ruins of his grandfather's fortress decades later."
Mustafar,Vader Immortal: A Star Wars VR Series,2019,VR game,"An originally lush and forested planet that becomes volcanic and almost lifeless during an ancient battle. The hiding place of the Separatists leaders during the final hours of the Clone Wars, until they are killed by Darth Vader, who is later permanently scarred in a battle with Obi-Wan Kenobi. During the Imperial era, Vader builds his personal fortress on the planet. Vader's grandson, Kylo Ren, retrieves a Sith wayfinder from the ruins of his grandfather's fortress decades later."
Mustafar,The Rise of Skywalker,2019,Film,"An originally lush and forested planet that becomes volcanic and almost lifeless during an ancient battle. The hiding place of the Separatists leaders during the final hours of the Clone Wars, until they are killed by Darth Vader, who is later permanently scarred in a battle with Obi-Wan Kenobi. During the Imperial era, Vader builds his personal fortress on the planet. Vader's grandson, Kylo Ren, retrieves a Sith wayfinder from the ruins of his grandfather's fortress decades later."
Mygeeto,Revenge of the Sith,2005,Film,"Cold, urban planet that served as a battle site in the final days of the Clone Wars, as well as the death place of Jedi Master Ki Adi Mundi."
Naboo,The Phantom Menace,1999,Film,"Home planet of the Gungans, including Jar-Jar Binks, and various humans, who compose a civilization called the Naboo, which includes Padmé Amidala and Emperor Palpatine."
Naboo,Attack of the Clones,2002,Film,"Home planet of the Gungans, including Jar-Jar Binks, and various humans, who compose a civilization called the Naboo, which includes Padmé Amidala and Emperor Palpatine."
Naboo,Return of the Jedi (DVD Release),2004,Film,"Home planet of the Gungans, including Jar-Jar Binks, and various humans, who compose a civilization called the Naboo, which includes Padmé Amidala and Emperor Palpatine."
Naboo,Revenge of the Sith,2005,Film,"Home planet of the Gungans, including Jar-Jar Binks, and various humans, who compose a civilization called the Naboo, which includes Padmé Amidala and Emperor Palpatine."
Naboo,The Clone Wars,2009,TV series,"Home planet of the Gungans, including Jar-Jar Binks, and various humans, who compose a civilization called the Naboo, which includes Padmé Amidala and Emperor Palpatine."
Naboo,Star Wars Battlefront II,2017,Video Game,"Home planet of the Gungans, including Jar-Jar Binks, and various humans, who compose a civilization called the Naboo, which includes Padmé Amidala and Emperor Palpatine."
Nal Hutta,Star Wars Legends: Dark Empire,1991,Comics,Home planet of Jabba and other Hutts. Close to the urban moon of Nar Shaddaa.
Nal Hutta,Star Wars: The Clone Wars,2010,TV series,Home planet of Jabba and other Hutts. Close to the urban moon of Nar Shaddaa.
Nevarro,The Mandalorian,2019,TV series,Desert planet and local outpost of the Bounty Hunters' Guild.
Numidian Prime,Solo: A Star Wars Story,2018,Film,Rainforest paradise that is a haven to smugglers and thieves.
Nur,Star Wars Jedi: Fallen Order,2019,Video game,"Ocean moon with submerged volcanoes, and in its surface lies the Inquisitirium fortress."
Onderon,Star Wars Legends: Tales of the Jedi,1994,Comics,Jungle planet where Anakin Skywalker leads a revolt against its monarchy; birthplace of Saw Gerrera.
Onderon,Star Wars: The Clone Wars,2012,TV series,Jungle planet where Anakin Skywalker leads a revolt against its monarchy; birthplace of Saw Gerrera.
Ord Mantell,The Empire Strikes Back,1980,Film (mentioned),A planet where Han Solo tells of having a run-in with a bounty hunter.
Ord Mantell,Star Wars Legends: The Bounty Hunter of Ord Mantell,1981,Comics,A planet where Han Solo tells of having a run-in with a bounty hunter.
Pasaana,The Rise of Skywalker,2019,Film,"A desert planet on the edge of the galaxy, home to the Aki-Aki species."
Pillio,Star Wars Battlefront II,2017,Video game,"Uncolonized aquatic planet with over 3 million species, and the location of one of Palpatine's observatories."
Polis Massa,Revenge of the Sith,2005,Film,Outer Rim planetoid within an asteroid field of the same name; birthplace of Luke Skywalker and Leia Organa.
Rishi,Star Wars Legends: Dark Force Rising,1992,Book,Tropical planet used by the Republic to monitor the nearby cloning facility on Kamino.
